year,state_name,sector_name,fuel_name,value
1970,New Mexico,Residential carbon dioxide emissions,Coal,0.00096
1970,New Mexico,Total carbon dioxide emissions from all sectors,Natural Gas,15.203568
1970,New Mexico,Residential carbon dioxide emissions,Natural Gas,1.766892
1970,New Mexico,Residential carbon dioxide emissions,All Fuels,2.241952
1970,New Mexico,Commercial carbon dioxide emissions,Coal,0.000768
1970,New Mexico,Commercial carbon dioxide emissions,Petroleum,0.187038
1970,New Mexico,Commercial carbon dioxide emissions,Natural Gas,1.896897
1970,New Mexico,Commercial carbon dioxide emissions,All Fuels,2.084703
1970,New Mexico,Transportation carbon dioxide emissions,Petroleum,7.531021
1970,New Mexico,Transportation carbon dioxide emissions,Natural Gas,1.739109
1970,New Mexico,Transportation carbon dioxide emissions,All Fuels,9.27013
1970,New Mexico,Electric Power carbon dioxide emissions,Coal,9.428585
1970,New Mexico,Electric Power carbon dioxide emissions,Petroleum,0.044174
1970,New Mexico,Electric Power carbon dioxide emissions,Natural Gas,3.152092
1970,New Mexico,Electric Power carbon dioxide emissions,All Fuels,12.624851
1970,New Mexico,Industrial carbon dioxide emissions,Coal,0.021956
1970,New Mexico,Industrial carbon dioxide emissions,Petroleum,2.067813
1970,New Mexico,Industrial carbon dioxide emissions,Natural Gas,6.648579
1970,New Mexico,Industrial carbon dioxide emissions,All Fuels,8.738347
1970,New Mexico,Total carbon dioxide emissions from all sectors,All Fuels,34.959984
1970,New Mexico,Total carbon dioxide emissions from all sectors,Coal,9.452269
1970,New Mexico,Total carbon dioxide emissions from all sectors,Petroleum,10.304147
1970,New Mexico,Residential carbon dioxide emissions,Petroleum,0.474101
1971,New Mexico,Residential carbon dioxide emissions,Coal,0.001056
1971,New Mexico,Residential carbon dioxide emissions,Petroleum,0.439713
1971,New Mexico,Residential carbon dioxide emissions,Natural Gas,1.860207
1971,New Mexico,Residential carbon dioxide emissions,All Fuels,2.300977
1971,New Mexico,Commercial carbon dioxide emissions,Coal,0.001152
1971,New Mexico,Commercial carbon dioxide emissions,Petroleum,0.184342
1971,New Mexico,Commercial carbon dioxide emissions,Natural Gas,1.938517
1971,New Mexico,Commercial carbon dioxide emissions,All Fuels,2.124012
1971,New Mexico,Transportation carbon dioxide emissions,Petroleum,7.914092
1971,New Mexico,Transportation carbon dioxide emissions,Natural Gas,1.67066
1971,New Mexico,Transportation carbon dioxide emissions,All Fuels,9.584752
1971,New Mexico,Electric Power carbon dioxide emissions,Coal,11.453548
1971,New Mexico,Electric Power carbon dioxide emissions,Petroleum,0.170596
1971,New Mexico,Electric Power carbon dioxide emissions,Natural Gas,2.824481
1971,New Mexico,Electric Power carbon dioxide emissions,All Fuels,14.448625
1971,New Mexico,Industrial carbon dioxide emissions,Coal,0.023754
1971,New Mexico,Industrial carbon dioxide emissions,Petroleum,1.89117
1971,New Mexico,Industrial carbon dioxide emissions,Natural Gas,6.857815
1971,New Mexico,Industrial carbon dioxide emissions,All Fuels,8.772739
1971,New Mexico,Total carbon dioxide emissions from all sectors,All Fuels,37.231104
1971,New Mexico,Total carbon dioxide emissions from all sectors,Coal,11.47951
1971,New Mexico,Total carbon dioxide emissions from all sectors,Petroleum,10.599913
1971,New Mexico,Total carbon dioxide emissions from all sectors,Natural Gas,15.151681
1972,New Mexico,Residential carbon dioxide emissions,Petroleum,0.490928
1972,New Mexico,Residential carbon dioxide emissions,Natural Gas,1.999808
1972,New Mexico,Residential carbon dioxide emissions,All Fuels,2.490736
1972,New Mexico,Commercial carbon dioxide emissions,Petroleum,0.200933
1972,New Mexico,Commercial carbon dioxide emissions,Natural Gas,1.868849
1972,New Mexico,Commercial carbon dioxide emissions,All Fuels,2.069782
1972,New Mexico,Transportation carbon dioxide emissions,Petroleum,8.541299
1972,New Mexico,Transportation carbon dioxide emissions,Natural Gas,2.097153
1972,New Mexico,Transportation carbon dioxide emissions,All Fuels,10.638452
1972,New Mexico,Electric Power carbon dioxide emissions,Coal,11.760573
1972,New Mexico,Electric Power carbon dioxide emissions,Petroleum,0.207101
1972,New Mexico,Electric Power carbon dioxide emissions,Natural Gas,3.317567
1972,New Mexico,Electric Power carbon dioxide emissions,All Fuels,15.285242
1972,New Mexico,Industrial carbon dioxide emissions,Coal,0.015047
1972,New Mexico,Industrial carbon dioxide emissions,Petroleum,2.245209
1972,New Mexico,Industrial carbon dioxide emissions,Natural Gas,6.934251
1972,New Mexico,Industrial carbon dioxide emissions,All Fuels,9.194507
1972,New Mexico,Total carbon dioxide emissions from all sectors,All Fuels,39.67872
1972,New Mexico,Total carbon dioxide emissions from all sectors,Coal,11.775621
1972,New Mexico,Total carbon dioxide emissions from all sectors,Petroleum,11.68547
1972,New Mexico,Total carbon dioxide emissions from all sectors,Natural Gas,16.217629
1973,New Mexico,Total carbon dioxide emissions from all sectors,Natural Gas,14.248095
1973,New Mexico,Residential carbon dioxide emissions,Natural Gas,1.355191
1973,New Mexico,Residential carbon dioxide emissions,All Fuels,1.784446
1973,New Mexico,Commercial carbon dioxide emissions,Petroleum,0.217166
1973,New Mexico,Commercial carbon dioxide emissions,Natural Gas,1.460224
1973,New Mexico,Commercial carbon dioxide emissions,All Fuels,1.67739
1973,New Mexico,Transportation carbon dioxide emissions,Petroleum,9.072488
1973,New Mexico,Transportation carbon dioxide emissions,Natural Gas,1.685612
1973,New Mexico,Transportation carbon dioxide emissions,All Fuels,10.7581
1973,New Mexico,Electric Power carbon dioxide emissions,Coal,12.752891
1973,New Mexico,Electric Power carbon dioxide emissions,Petroleum,0.369615
1973,New Mexico,Electric Power carbon dioxide emissions,Natural Gas,3.656047
1973,New Mexico,Electric Power carbon dioxide emissions,All Fuels,16.778553
1973,New Mexico,Industrial carbon dioxide emissions,Coal,0.038801
1973,New Mexico,Industrial carbon dioxide emissions,Petroleum,2.922472
1973,New Mexico,Industrial carbon dioxide emissions,Natural Gas,6.091021
1973,New Mexico,Industrial carbon dioxide emissions,All Fuels,9.052293
1973,New Mexico,Total carbon dioxide emissions from all sectors,All Fuels,40.050783
1973,New Mexico,Total carbon dioxide emissions from all sectors,Coal,12.791692
1973,New Mexico,Total carbon dioxide emissions from all sectors,Petroleum,13.010996
1973,New Mexico,Residential carbon dioxide emissions,Petroleum,0.429255
1974,New Mexico,Residential carbon dioxide emissions,Petroleum,0.381594
1974,New Mexico,Residential carbon dioxide emissions,Natural Gas,1.441243
1974,New Mexico,Residential carbon dioxide emissions,All Fuels,1.822837
